0        The system shall be easy to use by the Program Administrators/Nursing Staff Members.


	AS the Program Administrators/Nursing Staff Members I WANT TO use the system
easily
	1        All of the users shall be able to use the system after one day of training.


	AS All of the users I WANT TO be able to use the system after one day of training.


	2        The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.


	AS the nursing students I WANT the system to avoid making mistakes while scheduling classes and clinicals for the nursing students.
	3        The number of mistakes noted by the students shall be decreased by 50% in the first year.


	AS students I WANT TO decrease the number of mistakes by 50% in the first year.


	4        The system shall be intuitive to the Program Administrators/Nursing Staff Members.


	AS the Program Administrators/Nursing Staff Members I WANT be intuitive.
	5        2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.


	AS 2 out of 3 Administrators/Nursing Staff Members I WANT TO  be able to use the system to manage the scheduling of classes and clinicals.


	6        The system shall use symbols and words that are naturally understandable by the user community.


	AS user community I WANT the system shall use symbols and words that are naturally understandable
	7        The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.


	

	8        Staff members shall be able to complete a set of tasks in a timely manner.


	AS staff members I WANT TO be able to complete a set of tasks in a timely manner
	9        The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.


	AS general student
	10        The system shall be available for use between the hours of 8am and 6pm.


	

	11        The system shall achieve 95% up time.


	

	12        system shall be able to handle all of the user requests/usage during business hours.


	AS user I WANT the system to be able to handle all requests/usage during business hours.


	13        The system shall cater to 10 simultaneous users from 9am to 5pm.


	

	14        The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.


	

	15        The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.


	

	16        The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.


	

	17        The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.




	AS the Program Administrators/Nursing Staff Members I WANT the system to  be used within the specifications defined.
	18        The system shall operate within the Windows XP Professional operating system.
	

	

19        The system shall interface with CampusConnect 92s central server.
	

	20        The system shall interface with the faculty central server.
	

	21        The system shall interface with the student master server.
	

	22        We must be able to interface with any HTML browser.
	

	23        Only authorized users shall have access to clinical site information.
	AS authorized user I WANT TO have access to clinical site information
	24        Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.
	AS Administrator/Nursing Staff Members I WANT TO have access to clinical site details.
	25        Only authorized users shall have access to students 92 personal information.
	AS authorized users I WANT TO  have access to students 92 personal information
	26        Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students 92 personal information.
	AS Susan Posluszny and Dr Julie Donalek
I WANT TO  have access to students 92 personal information.
	27        Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.
	AS authorized users I WANT TO have access to the portion of the system that interfaces with CampusConnect.


	28        Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.
	AS  Dr Susan Posluszny and Karen Sysol I WANT TO have access to the final class section scheduling for the system that interfaces with CampusConnect.


	29        The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.
classes to a sequence of classes
	

