ID;Titolo Use Case;Attori Primari;Attori Secondari;Descrizione
101;Associate a cohort with a Program of Study;Program Administrator;None;A cohort is associated with a specific Program of Study offered by the department.
102;Add listing of students to a cohort;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can add multiple students to a cohort in a single operation.
103;Add a single student to a cohort;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can add a single student to a cohort.
104;Verify eligibility for cohort;Program Administrator;Student;When a student is added to a cohort, their eligibility for the associated Program of Study is verified.
105;Define preferred sequence of classes;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can define the preferred sequence of classes for a cohort.
106;Assign quarters for classes;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can assign specific quarters for each class in a sequence.
107;Add new classes to sequence;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can add new classes to an existing sequence for a cohort.
108;Include clinical classes in sequence;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can include clinical classes or sections in the sequence for a cohort.
109;Create a new cohort;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can create a new cohort, specifying the start month and year.
110;Add new classes to department;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can add new classes to the nursing department's system.
111;Class categorization;Program Administrator;None;Classes can be categorized as either non-clinical or clinical by Program Administrators.
112;Specify non-clinical class details;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can specify details like course name, lecture room needs, and instructor for non-clinical classes.
113;Specify clinical class details;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can specify requirements for clinical classes, including clinical site and lab instructors.
114;Create new Program of Study;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can create new Programs of Study within the system.
115;Structure for Programs of Study;Program Administrator;None;Program Administrators maintain a structure for each Program of Study, listing all required classes, including both clinical and non-clinical.
116;Specify required classes;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can specify which classes are required for each Program of Study.
117;Generate class needs report;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can generate reports of needed classes per quarter for planning purposes.
118;Class needs report details;Program Administrator;None;Reports of needed classes include information like sections needed, lab needs, and room requirements.
119;Avoid class schedule conflicts;Program Administrator;None;Program Administrators ensure that classes for a cohort do not have overlapping schedules.
120;Add new clinical sites;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can add new clinical sites into the system.
121;Provide clinical site details;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can provide details like site name, contact person, and contact information for a clinical site.
122;Add clinical lab section;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can add a new clinical lab section to an existing clinical class.
123;Clinical lab section details;Program Administrator;Nursing Staff;A clinical lab section includes information such as clinical site, instructor, and the schedule of the lab.
124;Enroll student in clinical lab;Program Administrator;Nursing Staff, Student;Program Administrators and Nursing Staff Members can enroll a registered student into a clinical lab section.
125;Remove student from clinical lab;Program Administrator;Nursing Staff, Student;Program Administrators and Nursing Staff Members can remove a student from a clinical lab section.
126;Transfer student between labs;Program Administrator;Nursing Staff, Student;Program Administrators and Nursing Staff Members can transfer a student from one clinical lab section to another within the same class.
127;Cancel clinical lab section;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can cancel a clinical lab section if no students are enrolled.
128;Add new nursing student;Program Administrator;Nursing Staff;Program Administrators or Nursing Staff Members can add a new nursing student to the system.
129;Modify part-time student's schedule;Staff Member;Student;A staff member can modify the sequence and timeline of classes for a part-time student.
130;Display cohort summary;Program Administrator;Nursing Staff;The system can display a summary for cohorts, including students, program of study, class sequence, progress, and completion timeline.
131;Display clinical site summary;Program Administrator;Nursing Staff;The system can display a summary of labs held at each clinical site, including general info, dates, and times.
132;Display clinical lab details;Program Administrator;Nursing Staff;The system can display details of each clinical lab, including class name, section, enrolled students, and schedule.
133;Display student summary;Program Administrator;Nursing Staff;The system can display a student's details, including name, ID, admission date, classes, credits, GPA, and cohort.
134;Display system log summary;Program Administrator;Nursing Staff;The system can display a printable summary of its log for audit and record-keeping purposes.
135;Store contact information;Program Administrator;None;The system stores contact details for relevant parties, including staff, students, and instructors.
136;Send email notifications;Program Administrator;All Users;The system uses stored email addresses as the primary method for sending communications to users.
137;Notify routine matters;Program Administrator;Students, Staff;The system notifies users about routine matters like upcoming classes and schedule updates.
138;Notify clinical changes;Program Administrator;Students, Staff;The system sends notifications when changes occur in clinical sections, such as capacity adjustments or cancellations.
139;Notify class changes;Program Administrator;Students, Staff;The system notifies affected users of changes like class cancellations or schedule adjustments.
140;Notify cohort changes;Program Administrator;Students, Staff;The system informs users of changes to a cohort's schedule or sequence, such as class cancellations or sequence adjustments.
141;Notify student-specific changes;Program Administrator;Students, Staff;The system sends notifications when there are changes affecting specific students, such as a change in status or clinical section.
142;Edit cohort information;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can edit information related to cohorts, including program of study and class sequence.
143;Update Program of Study;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can update information about a Program of Study, such as its name and required classes.
144;Edit clinical site details;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can edit details of a clinical site, including name, contact person, and address.
145;Update clinical lab section;Program Administrator;Nursing Staff;Program Administrators and Nursing Staff Members can update details for a clinical lab section, including schedule and contact information.
146;Update student information;Program Administrator;Nursing Staff, Student;Program Administrators and Nursing Staff Members can update a nursing student's details, including status and program of study.
